S.No.,QR Code,TruckNumber,Plant Code,Inserted At,Line ID
1,NG,HR56B4313,3101,18:50:55,1
2,NG,HR56B4313,3101,18:50:57,1
3,NG,HR56B4313,3101,18:50:58,1
4,NG,HR56B4313,3101,18:50:59,1
5,NG,HR56B4313,3101,18:51:00,1
6,NG,HR56B4313,3101,18:51:01,1
7,NG,HR56B4313,3101,18:51:03,1
8,NG,HR56B4313,3101,18:51:08,1
9,NG,HR56B4313,3101,18:51:09,1
10,NG,HR56B4313,3101,18:51:11,1
11,NG,HR56B4313,3101,18:51:12,1
12,NG,HR56B4313,3101,18:51:14,1
13,NG,HR56B4313,3101,18:51:16,1
14,NG,HR56B4313,3101,18:51:17,1
15,NG,HR56B4313,3101,18:51:19,1
16,NG,HR56B4313,3101,18:51:21,1
17,NG,HR56B4313,3101,18:51:22,1
18,NG,HR56B4313,3101,18:51:24,1
19,NG,HR56B4313,3101,18:51:26,1
20,NG,HR56B4313,3101,18:51:29,1
21,NG,HR56B4313,3101,18:51:31,1
22,NG,HR56B4313,3101,18:51:33,1
23,NG,HR56B4313,3101,18:51:41,1
24,NG,HR56B4313,3101,18:51:43,1
25,NG,HR56B4313,3101,18:51:44,1
26,NG,HR56B4313,3101,18:51:46,1
27,NG,HR56B4313,3101,18:51:48,1
28,NG,HR56B4313,3101,18:51:50,1
29,NG,HR56B4313,3101,18:51:59,1
30,NG,HR56B4313,3101,18:52:05,1
31,NG,HR56B4313,3101,18:52:26,1
32,NG,HR56B4313,3101,18:53:07,1
33,NG,HR56B4313,3101,18:53:09,1
34,NG,HR56B4313,3101,18:53:11,1
35,NG,HR56B4313,3101,18:53:13,1
36,NG,HR56B4313,3101,18:53:15,1
37,NG,HR56B4313,3101,18:53:17,1
38,NG,HR56B4313,3101,18:53:19,1
39,NG,HR56B4313,3101,18:53:21,1
40,NG,HR56B4313,3101,18:53:23,1
41,NG,HR56B4313,3101,18:53:26,1
42,NG,HR56B4313,3101,18:53:28,1
43,NG,HR56B4313,3101,18:53:29,1
44,NG,HR56B4313,3101,18:53:31,1
45,NG,HR56B4313,3101,18:53:33,1
46,NG,HR56B4313,3101,18:53:35,1
47,NG,HR56B4313,3101,18:53:42,1
48,NG,HR56B4313,3101,18:53:44,1
49,NG,HR56B4313,3101,18:53:45,1
50,NG,HR56B4313,3101,18:53:47,1
51,NG,HR56B4313,3101,18:53:49,1
52,NG,HR56B4313,3101,18:53:50,1
53,NG,HR56B4313,3101,18:53:52,1
54,NG,HR56B4313,3101,18:53:53,1
55,NG,HR56B4313,3101,18:53:55,1
56,NG,HR56B4313,3101,18:53:58,1
